File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\routing\routes.ts,24,21,11,0,3,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\services\project.service.spec.ts,16,12,13,0,4,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\services\project.service.ts,115,106,77,3,9,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\services\tasks.service.spec.ts,16,12,13,0,4,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\services\tasks.service.ts,98,94,71,1,3,0,1,4,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\AppStore.ts,7,5,10,0,2,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\initialState.ts,25,21,17,0,4,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\actions\comment.actions.ts,21,17,14,1,4,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\actions\editing.actions.ts,21,18,16,1,3,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\actions\modals.actions.ts,33,29,19,2,4,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\actions\project.actions.ts,92,83,53,8,9,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\actions\task.actions.ts,25,22,19,1,3,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\comment.reducer.ts,11,9,6,3,2,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\editing.reducer.ts,18,15,10,3,3,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\modals.reducer.ts,25,23,13,4,2,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\project.reducer.ts,91,86,55,30,4,0,1,1,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\task.reducer.ts,11,9,6,3,2,0,0,0,0,0
